epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_K_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_K_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        84, 5122.909, 3.91e-05,          0.84723,          0.10498,           84.723,        0.227,         0.23,        0.228,       0.0803,          0.84743,          0.10518,           84.743,        0.226,         0.23,        0.228,       0.0804
        85, 5183.505, 3.91e-05,          0.84723,          0.10489,           84.723,        0.227,         0.23,        0.228,       0.0803,          0.84744,          0.10485,           84.743,        0.226,         0.23,        0.228,       0.0803
        86, 5244.504, 3.91e-05,          0.84723,          0.10465,           84.723,        0.227,         0.23,        0.228,       0.0802,          0.84744,           0.1049,           84.744,        0.226,         0.23,        0.228,       0.0803
        87, 5304.962, 1.95e-05,          0.84722,          0.10443,           84.722,        0.227,         0.23,        0.228,       0.0801,          0.84744,          0.10486,           84.744,        0.226,         0.23,        0.228,       0.0803
        88, 5366.138, 1.95e-05,          0.84722,          0.10471,           84.722,        0.227,         0.23,        0.228,       0.0802,          0.84744,          0.10495,           84.744,        0.226,         0.23,        0.228,       0.0803
        89, 5426.927, 1.95e-05,          0.84722,          0.10439,           84.722,        0.227,         0.23,        0.228,       0.0801,          0.84744,          0.10485,           84.744,        0.226,         0.23,        0.228,       0.0803
        90, 5487.852, 1.95e-05,          0.84722,           0.1044,           84.722,        0.227,         0.23,        0.228,       0.0801,          0.84744,          0.10479,           84.744,        0.226,         0.23,        0.228,       0.0802
        91, 5548.231, 1.95e-05,          0.84722,          0.10451,           84.722,        0.227,         0.23,        0.228,       0.0801,          0.84744,          0.10485,           84.744,        0.226,         0.23,        0.228,       0.0803
        92, 5609.125, 1.95e-05,          0.84722,          0.10455,           84.722,        0.227,         0.23,        0.228,       0.0802,          0.84744,          0.10482,           84.744,        0.226,         0.23,        0.228,       0.0803
        93, 5670.028, 9.77e-06,          0.84721,          0.10436,           84.722,        0.227,         0.23,        0.228,       0.0801,          0.84744,          0.10469,           84.744,        0.226,         0.23,        0.228,       0.0802
