epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        83, 1557.702,     0.01,       0.00086184,       1.8183e-05,         0.086202,        0.031,       0.0223,       0.0195,        0.021,       0.0234,      0.00347,       0.00060939,        6.639e-07,         0.060939,       0.0255,       0.0185,       0.0179,       0.0183,         0.02,     0.000664
        84, 1576.351,     0.01,       0.00076755,       1.5877e-05,          0.07677,       0.0292,        0.021,       0.0185,       0.0198,       0.0221,      0.00324,       0.00060441,       6.7268e-07,         0.060442,       0.0254,       0.0184,       0.0178,       0.0183,         0.02,     0.000668
        85, 1594.928,     0.01,       0.00089724,       1.7575e-05,         0.089742,       0.0325,       0.0235,        0.019,       0.0201,       0.0238,      0.00341,       0.00059933,       3.4192e-07,         0.059933,       0.0253,       0.0183,       0.0177,       0.0182,       0.0199,     0.000479
        86, 1613.514,     0.01,       0.00075806,       1.6884e-05,         0.075823,       0.0288,       0.0209,       0.0186,       0.0198,        0.022,      0.00334,       0.00059338,       6.9637e-07,         0.059339,       0.0252,       0.0182,       0.0176,       0.0181,       0.0198,     0.000675
        87, 1632.087,     0.01,       0.00078882,       1.4525e-05,         0.078896,       0.0298,       0.0215,       0.0183,         0.02,       0.0224,       0.0031,       0.00058702,       7.8062e-07,         0.058703,       0.0251,       0.0181,       0.0175,        0.018,       0.0197,     0.000722
        88, 1650.689,     0.01,       0.00077344,       1.3361e-05,         0.077357,       0.0292,       0.0209,       0.0186,       0.0203,       0.0223,      0.00296,       0.00058232,       3.8282e-07,         0.058232,        0.025,       0.0181,       0.0174,       0.0179,       0.0196,     0.000507
        89, 1669.324,     0.01,       0.00078867,       1.9516e-05,         0.078886,       0.0294,       0.0214,        0.019,       0.0201,       0.0225,       0.0036,       0.00057722,       6.2785e-07,         0.057722,       0.0249,        0.018,       0.0174,       0.0178,       0.0195,     0.000641
        90, 1687.903,     0.01,       0.00080312,       1.4157e-05,         0.080326,       0.0302,       0.0219,       0.0182,         0.02,       0.0226,      0.00306,       0.00057253,       3.0703e-07,         0.057253,       0.0248,       0.0179,       0.0174,       0.0177,       0.0194,     0.000452
        91, 1706.501,     0.01,       0.00080992,       1.4311e-05,         0.081006,        0.031,       0.0222,        0.018,        0.019,       0.0226,      0.00308,       0.00056751,       5.9382e-07,         0.056752,       0.0247,       0.0179,       0.0172,       0.0176,       0.0193,     0.000628
        92, 1725.144,     0.01,       0.00073364,       1.9875e-05,         0.073384,       0.0285,       0.0205,       0.0182,       0.0195,       0.0217,      0.00363,        0.0005625,       3.2796e-07,          0.05625,       0.0246,       0.0178,       0.0172,       0.0176,       0.0193,     0.000467
